Player,Position,Team,TotalMoney,YearlySalary
Travis Swanson,C,Lions,2.957,0.739
Carl Davis,34DT,Ravens,2.952,0.738
Matt Jones,RB,Redskins,2.951,0.738
Chaz Green,RG,Cowboys,2.951,0.738
Chris Clemons,S,Cardinals,1.475,0.738
Kyle Love,43DT,Panthers,1.475,0.738
Jamon Meredith,G,Titans,1.475,0.738
Ty Montgomery,WR,Packers,2.949,0.737
Jeff Heuerman,TE,Broncos,2.946,0.736
Blidi Wreh-Wilson,CB,Titans,2.937,0.734
Henry Anderson,34OLB,Colts,2.937,0.734
TJ McDonald,S,Rams,2.926,0.732
Jordan Palmer,QB,Titans,0.73,0.73
Danny Gorrer,CB,Ravens,0.73,0.73
Eben Britton,RT,Bears,0.73,0.73
Landon Cohen,43DT,Seahawks,0.73,0.73
Jermaine Cunningham,34OLB,Jets,0.73,0.73
Tyler Thigpen,QB,Browns,0.73,0.73
Claude Spillman,S,Cowboys,0.73,0.73
Michael Palmer,TE,Steelers,0.73,0.73
Mike Thomas,WR,Texans,0.73,0.73
Antoine Cason,CB,Ravens,0.73,0.73
Trevor Scott,43DE,Bears,0.73,0.73
Marcus Benard,34OLB,Cardinals,0.73,0.73
Kevin Matthews,C,Panthers,0.73,0.73
Terrence Cody,34DT,Ravens,0.73,0.73
Stevenson Sylvester,43OLB,Bills,0.73,0.73
David Johnson,TE,Cardinals,2.919,0.73
Sammie Coates,WR,Steelers,2.912,0.728
Xavier Cooper,34DE,Browns,2.907,0.727
Brian Winters,G,Jets,2.904,0.726
Steven Nelson,CB,Chiefs,2.903,0.726
Terrance Williams,WR,Cowboys,2.897,0.724
Bryan Walters,WR,Jaguars,1.445,0.723
Bryce Harris,LT,Falcons,0.72,0.72
Bryan Anger,P,Jaguars,2.877,0.719
Terrence Brooks,S,Ravens,2.871,0.718
Kelcie McCray,S,Seahawks,1.435,0.718
Terron Armstead,LT,Saints,2.867,0.717
Dexter McDougle,CB,Jets,2.864,0.716
Spencer Long,G,Redskins,2.864,0.716
Geneo Grissom,43DE,Patriots,2.862,0.715
Paul Dawson,ILB,Bengals,2.862,0.715
Gabe Jackson,LG,Raiders,2.856,0.714
Josh LeRibeus,G,Redskins,2.856,0.714
Marquise Goodwin,WR,Bills,2.854,0.713
Angelo Blackson,34DE,Titans,2.852,0.713
Will Sutton,43DT,Bears,2.851,0.713
Olivier Vernon,43DE,Dolphins,2.848,0.712
Dallas Thomas,G,Dolphins,2.846,0.712
Kareem Martin,34DE,Cardinals,2.844,0.711
Tim Barnes,C,Rams,0.71,0.71
Arrelious Benn,WR,Jaguars,1.42,0.71
Winston Guy,S,Colts,1.42,0.71
Garrett Celek,TE,49ers,0.71,0.71
Trey Flowers,43DE,Patriots,2.839,0.71
Daryl Williams,RT,Panthers,2.837,0.709
Bryce Petty,QB,Jets,2.834,0.708
James Sample,S,Jaguars,2.829,0.707
Jamison Crowder,WR,Redskins,2.826,0.706
Phillip Gaines,CB,Chiefs,2.824,0.706
Jeremy Langford,RB,Bears,2.824,0.706
Josh Huff,WR,Eagles,2.821,0.705
Justin Hardy,WR,Falcons,2.821,0.705
Will Clarke,43DE,Bengals,2.82,0.705
Demario Davis,ILB,Jets,2.818,0.704
Jalston Fowler,FB,Titans,2.818,0.704
Chris Watt,RG,Chargers,2.817,0.704
Clayton Geathers,S,Colts,2.814,0.703
Keenan Allen,WR,Chargers,2.814,0.703
Donald Stephenson,LT,Chiefs,2.813,0.703
Markus Wheaton,WR,Steelers,2.811,0.703
JJ Wilcox,S,Cowboys,2.811,0.703
Donte Moncrief,WR,Colts,2.809,0.702
Ramik Wilson,ILB,Chiefs,2.807,0.702
TJ Clemmings,RT,Vikings,2.805,0.701
Tre Jackson,LG,Patriots,2.804,0.701
Arie Kouandjio,LG,Redskins,2.802,0.7
Gabe Wright,43DT,Lions,2.801,0.7
Damontre Moore,43DE,Giants,2.8,0.7
Brandon Brooks,RG,Texans,2.8,0.7
Dallas Reynolds,C,Giants,0.7,0.7
John Brown,WR,Cardinals,2.799,0.7
Jamil Douglas,LG,Dolphins,2.799,0.7
John Jenkins,DT,Saints,2.793,0.698
Ibraheim Campbell,S,Browns,2.792,0.698
Trai Turner,G,Panthers,2.791,0.698
Rodney Gunter,34DE,Cardinals,2.79,0.697
Brandon Linder,G,Jaguars,2.79,0.697
Blake Bell,TE,49ers,2.785,0.696
Terrance West,RB,Titans,2.783,0.696
Chris Carter,34OLB,Bengals,1.39,0.695
Jordan Norwood,WR,Broncos,1.39,0.695
Jalil Brown,CB,Colts,1.39,0.695
Michael Schofield,RT,Broncos,2.777,0.694
Andrew Donnal,RT,Rams,2.777,0.694
Josh Shaw,CB,Bengals,2.774,0.693
Logan Ryan,CB,Patriots,2.773,0.693
Jerick McKinnon,RB,Vikings,2.765,0.691
Jordan Hill,DT,Seahawks,2.764,0.691
Za’Darius Smith,34OLB,Ravens,2.763,0.691
Richard Rodgers,TE,Packers,2.761,0.69
Shawn Williams,S,Bengals,2.761,0.69
Jordan Reed,TE,Redskins,2.76,0.69
Kwon Alexander,43OLB,Buccaneers,2.758,0.69
Buck Allen,RB,Ravens,2.754,0.689
Knile Davis,RB,Chiefs,2.751,0.688
Mike Davis,RB,49ers,2.749,0.687
Dri Archer,RB,Steelers,2.748,0.687
Damien Wilson,ILB,Cowboys,2.746,0.687
Kayvon Webster,CB,Broncos,2.746,0.686
Jon Feliciano,RG,Raiders,2.741,0.685
Tyrone Crawford,43DT,Cowboys,2.74,0.685
Chris Hairston,LT,Chargers,0.685,0.685
Matt Barkley,QB,Cardinals,2.74,0.685
Jake Ryan,ILB,Packers,2.737,0.684
Stedman Bailey,WR,Rams,2.736,0.684
Hugh Thornton,RG,Colts,2.735,0.684
Mike Martin,DT,Titans,2.728,0.682
Brandon Thomas,G,49ers,2.726,0.682
Crockett Gilmore,TE,Ravens,2.726,0.682
Shaquille Mason,C,Patriots,2.724,0.681
Fozzy Whittaker,RB,Panthers,1.36,0.68
Trenton Robinson,S,Redskins,0.685,0.68
Mohamed Sanu,WR,Bengals,2.713,0.678
Duron Harmon,S,Patriots,2.711,0.678
Bashaud Breeland,CB,Redskins,2.706,0.677
Sean Spence,ILB,Steelers,2.705,0.676
Devonta Freeman,RB,Falcons,2.704,0.676
Corey Lemonier,34DE,49ers,2.704,0.676
Will Davis,CB,Dolphins,2.701,0.675
Mike Johnson,RT,Falcons,0.675,0.675
Bryan Stork,C,Patriots,2.697,0.674
Bruce Ellington,WR,49ers,2.694,0.674
Justin Ellis,43DT,Raiders,2.693,0.673
Brandon Thompson,43DT,Bengals,2.691,0.673
Jerrel Jernigan,WR,Giants,2.69,0.673
Cassius Marsh,43DE,Seahawks,2.69,0.673
Mo Alexander,S,Rams,2.684,0.671
Akiem Hicks,DT,Saints,2.68,0.67
Russell Bodine,C,Bengals,2.676,0.669
DaQuan Jones,DT,Titans,2.675,0.669
Brandon Williams,34DT,Ravens,2.675,0.669
Andre Williams,RB,Giants,2.674,0.668
Aaron Colvin,CB,Jaguars,2.673,0.668
Keith McGill,CB,Raiders,2.665,0.666
De’Anthony Thomas,RB,Chiefs,2.665,0.666
Ka’Deem Carey,RB,Bears,2.663,0.666
Martavis Bryant,WR,Steelers,2.659,0.665
Bernard Pierce,RB,Jaguars,2.656,0.664
Anthony Hitchens,43OLB,Cowboys,2.655,0.664
Marqueston Huff,S,Titans,2.654,0.664
Akeem Spence,43DT,Buccaneers,2.644,0.661
Kevin Norwood,WR,Panthers,2.64,0.66
Shaun Draughn,RB,Browns,0.66,0.66
Zach Miller,TE,Bears,0.66,0.66
Austin Davis,QB,Browns,0.66,0.66
Michael Wilhoite,ILB,49ers,0.66,0.66
Austin Pasztor,RT,Browns,0.66,0.66
Chris Owusu,WR,Jets,0.66,0.66
Danny Lansanah,43OLB,Buccaneers,0.66,0.66
Mike McNeill,TE,Panthers,0.66,0.66
Jamize Olawale,FB,Raiders,0.66,0.66
Sealver Siliga,43DT,Patriots,0.66,0.66
Duke Ihenacho,S,Redskins,0.66,0.66
Mike Kafka,QB,Vikings,0.66,0.66
James Develin,RB,Patriots,0.66,0.66
Jermelle Cudjo,DT,Lions,0.66,0.66
Allen Reisner,TE,Ravens,0.66,0.66
Frank Kearse,DT,Redskins,0.66,0.66
Ricky Sapp,34OLB,Redskins,0.66,0.66
Allen Bradford,ILB,Falcons,0.66,0.66
Anthony McCoy,TE,Redskins,0.66,0.66
James Michael Johnson,43OLB,Buccaneers,0.66,0.66
Dezman Moses,34OLB,Chiefs,0.66,0.66
Deshawn Shead,S,Seahawks,0.66,0.66
Ricardo Lockette,WR,Seahawks,0.66,0.66
Tom Compton,RT,Redskins,0.66,0.66
Curtis Marsh,CB,Broncos,0.66,0.66
Rashad Carmichael,CB,Cardinals,0.66,0.66
Dorin Dickerson,WR,Titans,0.66,0.66
Jayron Hosley,CB,Giants,2.638,0.659
Walt Aikens,CB,Dolphins,2.636,0.659
Alex Okafor,34OLB,Cardinals,2.634,0.659
Lamar Holmes,LT,Falcons,2.634,0.658
Jelani Jenkins,43OLB,Dolphins,2.633,0.658
Duke Williams,S,Bills,2.63,0.658
Pierre Desir,CB,Browns,2.628,0.657
Dion Sims,TE,Dolphins,2.628,0.657
Max Garcia,C,Broncos,2.626,0.656
Tray Walker,CB,Ravens,2.626,0.656
Marcus Hardison,43DE,Bengals,2.626,0.656
DeAndre Smelter,WR,49ers,2.626,0.656
Mark Glowinski,LG,Seahawks,2.626,0.656
Tre Boston,S,Panthers,2.625,0.656
Brian Schwenke,C,Titans,2.624,0.656
Dontae Johnson,CB,49ers,2.621,0.655
James White,RB,Patriots,2.617,0.654
David Bakhtiari,LT,Packers,2.615,0.654
Ryan Nassib,QB,Giants,2.614,0.653
Shamarko Thomas,S,Steelers,2.613,0.653
Brock Vereen,S,Bears,2.612,0.653
Tony Bergstrom,C,Raiders,2.606,0.652
Kevin Pierre-Louis,43OLB,Seahawks,2.606,0.651
Landry Jones,QB,Steelers,2.599,0.65
Chris Givens,WR,Rams,2.597,0.649
Earl Watford,RG,Cardinals,2.595,0.649
Sean Porter,43OLB,Bengals,2.589,0.647
Lamar Miller,RB,Dolphins,2.586,0.647
Gino Gradkowski,C,Falcons,2.584,0.646
Ben Jones,LG,Texans,2.581,0.645
Khaled Holmes,C,Colts,2.58,0.645
Gerald Hodges,43OLB,Vikings,2.58,0.645
Joe McKnight,RB,Chiefs,0.645,0.645
Stephen Schilling,RG,Seahawks,0.645,0.645
Alfonso Smith,RB,49ers,0.645,0.645
Phillip Tanner,RB,49ers,0.645,0.645
Danny Aiken,LS,Patriots,0.645,0.645
Ben Tate,RB,Steelers,0.645,0.645
Travis Benjamin,WR,Browns,2.577,0.644
JC Tretter,G,Packers,2.576,0.644
Omar Bolden,CB,Broncos,2.574,0.644
Kirk Cousins,QB,Redskins,2.573,0.643
Frank Alexander,43DE,Panthers,2.57,0.643
Nigel Bradham,43OLB,Bills,2.564,0.641
William Gholston,43DE,Buccaneers,2.561,0.64
Malliciah Goodman,43DE,Falcons,2.557,0.639
Robert Turbin,RB,Browns,2.556,0.639
Quinton Patton,WR,49ers,2.552,0.638
Ladarius Green,TE,Chargers,2.551,0.638
Bobby Massie,RT,Cardinals,2.543,0.636
Kyle Wilber,LB,Cowboys,2.539,0.635
Jaye Howard,DT,Chiefs,2.535,0.634
Coty Sensabaugh,CB,Titans,2.532,0.633
Grady Jarrett,43DT,Falcons,2.528,0.632
David Cobb,RB,Titans,2.526,0.631
Rashad Greene,WR,Jaguars,2.524,0.631
Ben Heeney,ILB,Raiders,2.523,0.631
Tom Savage,QB,Texans,2.521,0.63
Dakota Dozier,G,Jets,2.521,0.63
Lorenzo Taliaferro,RB,Ravens,2.521,0.63
Nevin Lawson,CB,Lions,2.52,0.63
Brent Urban,34DE,Ravens,2.52,0.63
Keenan Robinson,LB,Redskins,2.52,0.63
Kevin McDermott,LS,Vikings,1.26,0.63
Joseph Fauria,TE,Cardinals,1.26,0.63
Trevin Wade,CB,Giants,1.26,0.63
David Bass,34OLB,Titans,1.26,0.63
Martrell Spaight,ILB,Redskins,2.518,0.629
Adrian Amos,S,Bears,2.512,0.628
MyCole Pruitt,TE,Vikings,2.511,0.628
Mykkele Thompson,S,Giants,2.509,0.627
Bobby McCain,CB,Dolphins,2.508,0.627
Stefon Diggs,WR,Vikings,2.508,0.627
Brandon Boykin,CB,Steelers,2.505,0.626
Brett Hundley,QB,Packers,2.504,0.626
Davis Tull,34OLB,Saints,2.502,0.625
Jay Ajayi,RB,Dolphins,2.501,0.625
Ron Brooks,CB,Bills,2.501,0.625
David Parry,34DT,Colts,2.5,0.625
Jarvis Harrison,RG,Jets,2.5,0.625
Kyle Emanuel,34OLB,Chargers,2.499,0.625
Tyeler Davison,34DE,Saints,2.497,0.624
Colin McCarthy,LB,Titans,2.495,0.624
Karlos Williams,RB,Bills,2.495,0.624
Quinton Carter,S,Broncos,2.495,0.624
Tony Lippett,CB,Dolphins,2.495,0.624
CJ Uzomah,TE,Bengals,2.493,0.623
Shaq Riddick,34OLB,Cardinals,2.492,0.623
Jared Crick,34DE,Texans,2.492,0.623
JJ Nelson,WR,Cardinals,2.49,0.622
Jesse James,TE,Steelers,2.489,0.622
Neiron Ball,43OLB,Raiders,2.485,0.621
Kenny Bell,WR,Buccaneers,2.485,0.621
Ryan Russell,43DE,Cowboys,2.483,0.621
Joe Cardona,LS,Patriots,2.48,0.62
Louis Nix,43DT,Giants,1.86,0.62
Lorenzo Doss,CB,Broncos,2.477,0.619
Bradley Pinion,P,49ers,2.474,0.619
DJ Alexander,ILB,Chiefs,2.473,0.618
James O’Shaughnessy,TE,Chiefs,2.473,0.618
Damian Swann,CB,Saints,2.467,0.617
Michael Burton,FB,Lions,2.464,0.616
Levine Toilolo,TE,Falcons,2.461,0.615
Devin Taylor,43DE,Lions,2.461,0.615
Kyle Juszczyk,FB,Ravens,2.461,0.615
Justin Trattou,43DE,Vikings,1.23,0.615
Jack Crawford,DE,Cowboys,1.23,0.615
Josh Bush,S,Broncos,1.23,0.615
Jamell Fleming,CB,Chiefs,1.23,0.615
Preston Parker,WR,Giants,1.23,0.615
Marc Mariani,WR,Bears,1.23,0.615
Marvin Austin,34DT,Broncos,1.23,0.615
Marcus Thigpen,RB,Bills,1.23,0.615
Josh Bellamy,WR,Bears,1.23,0.615
Brandon Weeden,QB,Cowboys,1.23,0.615
Keith Mumphery,WR,Texans,2.446,0.612
Nick Boyle,TE,Ravens,2.446,0.612
Cameron Artis-Payne,RB,Panthers,2.446,0.612
Tye Smith,CB,Seahawks,2.446,0.612
David Mayo,ILB,Panthers,2.446,0.612
Taylor Hart,34DE,Eagles,2.436,0.609
Ryan Grant,WR,Redskins,2.434,0.608
Telvin Smith,ILB,Jaguars,2.431,0.608
Deiontrez Mount,34OLB,Titans,2.428,0.607
Devin Street,WR,Cowboys,2.422,0.605
Jordan Kovacs,S,Dolphins,0.605,0.605
Bene Benwikere,CB,Panthers,2.419,0.605
Michael Bennett,43DE,Jaguars,2.419,0.605
Kevin Pamphile,RT,Buccaneers,2.419,0.605
Aaron Lynch,34OLB,49ers,2.418,0.605
Kyshoen Jarrett,S,Redskins,2.416,0.604
Avery Williamson,ILB,Titans,2.414,0.604
Tevin Mitchel,CB,Colts,2.413,0.603
Nat Berhe,S,Giants,2.413,0.603
Tayo Fabuluje,T,Bears,2.411,0.603
Caraun Reid,43DT,Lions,2.409,0.602
Tyrus Thompson,LT,Vikings,2.409,0.602
Geremy Davis,WR,Giants,2.407,0.602
Ed Stinson,34DE,Cardinals,2.407,0.602
Corey Linsley,C,Packers,2.405,0.601
Tony Steward,ILB,Bills,2.404,0.601
Aaron Murray,QB,Chiefs,2.402,0.601
Charles Gaines,CB,Browns,2.402,0.601
Ian Silberman,RT,49ers,2.402,0.6
AJ McCarron,QB,Bengals,2.402,0.6
JaCorey Shepherd,CB,Eagles,2.401,0.6
Darius Philon,34DE,Chargers,2.401,0.6
Miles Burns,43OLB,Raiders,2.401,0.6
Brandon Mosley,RT,Giants,2.401,0.6
Mike Daniels,DT,Packers,2.401,0.6
Rhett Ellison,TE,Vikings,2.401,0.6
Sanders Commings,CB,Chiefs,2.401,0.6
Brian Tyms,WR,Patriots,0.6,0.6
Malcolm Johnson,TE,Browns,2.399,0.6
Derron Smith,S,Bengals,2.399,0.6
Ryan Carrethers,34DT,Chargers,2.399,0.6
Jonathan Newsome,34OLB,Colts,2.398,0.6
Randall Telfer,TE,Browns,2.398,0.599
Leterrius Walton,34DE,Steelers,2.397,0.599
Vinnie Sunseri,S,Saints,2.397,0.599
Quandre Diggs,CB,Lions,2.395,0.599
A.J. Derby,TE,Patriots,2.392,0.598
Darius Kilgo,34DT,Broncos,2.392,0.598
Josh Robinson,RB,Colts,2.388,0.597
Aaron Ripkowski,FB,Packers,2.386,0.597
Darren Waller,WR,Ravens,2.386,0.597
Keith Reaser,CB,49ers,2.385,0.596
Andy Gallik,C,Titans,2.381,0.595
Stephen Hill,WR,Panthers,0.595,0.595
Denard Robinson,WR,Jaguars,2.374,0.593
Rakeem Nunez-Roches,34DE,Chiefs,2.37,0.593
Cody Wichmann,RG,Rams,2.37,0.593
Kennard Backman,TE,Packers,2.37,0.593
Reshard Cliett,ILB,Texans,2.37,0.593
Christian Covington,34DT,Texans,2.37,0.593
Kristjan Sokoli,RG,Seahawks,2.37,0.593
Obum Gwacham,43OLB,Saints,2.37,0.593
Tharold Simon,CB,Seahawks,2.367,0.592
John Urschel,RG,Ravens,2.365,0.591
Devon Kennard,43OLB,Giants,2.365,0.591
Stepfan Taylor,RB,Cardinals,2.361,0.59
Anthony Morris,LT,Raiders,2.359,0.59
Oday Aboushi,G,Jets,2.359,0.59
Andre Debose,WR,Raiders,2.357,0.589
Kenny Stills,WR,Dolphins,2.354,0.589
Deon Simon,34DT,Jets,2.353,0.588
Steve Williams,CB,Chargers,2.353,0.588
Bryce Hager,ILB,Rams,2.352,0.588
Bobby Hart,G,Giants,2.352,0.588
AJ Klein,ILB,Panthers,2.351,0.588
Austin Shepherd,LG,Vikings,2.35,0.587
Marcus Murphy,RB,Saints,2.349,0.587
Zach Fulton,G,Chiefs,2.349,0.587
Joseph Randle,RB,Cowboys,2.349,0.587
Jeoffrey Pagan,34DE,Texans,2.349,0.587
Edmond Robinson,43OLB,Vikings,2.348,0.587
Cooper Taylor,S,Giants,2.347,0.587
Laurent Duvernay-Tardif,RT,Chiefs,2.345,0.586
Zach Mettenberger,QB,Titans,2.345,0.586
Mark Nzeocha,43OLB,Cowboys,2.344,0.586
Jeff Locke,P,Vikings,2.344,0.586
Quinton Dial,34DT,49ers,2.342,0.585
Kenneth Acker,CB,49ers,2.341,0.585
Corbin Bryant,43DT,Bills,0.585,0.585
Jorvorskie Lane,RB,Buccaneers,0.585,0.585
Ben Jacobs,LB,Panthers,0.585,0.585
Chris Hogan,WR,Bills,0.585,0.585
Don Jones,S,Saints,0.585,0.585
Ryan Davis,43DE,Jaguars,0.585,0.585
Case Keenum,QB,Rams,0.585,0.585
Isaiah Pead,RB,Rams,0.585,0.585
Kevin Brock,TE,Saints,0.585,0.585
Taylor Boggs,C,Lions,0.585,0.585
Matt McCants,LT,Raiders,0.585,0.585
Eddie Pleasant,S,Texans,0.585,0.585
Ronald Leary,LG,Cowboys,0.585,0.585
Terence Garvin,WR,Steelers,0.585,0.585
Larry Donnell,TE,Giants,0.585,0.585
Chase Reynolds,RB,Rams,0.585,0.585
Cameron Lawrence,43OLB,Cowboys,0.585,0.585
Brynden Trawick,S,Ravens,0.585,0.585
Michael Thomas,S,Dolphins,0.585,0.585
Darrion Weems,LT,Cowboys,0.585,0.585
Dion Lewis,RB,Patriots,0.585,0.585
Senio Kelemete,LG,Saints,0.585,0.585
Mike Brewster,G,Saints,0.585,0.585
Neiko Thorpe,S,Raiders,0.585,0.585
Brandon Marshall,ILB,Broncos,0.585,0.585
Rashaan Melvin,CB,Ravens,0.585,0.585
Tony Jerod-Eddie,34DE,49ers,0.585,0.585
Chris Lewis-Harris,CB,Bengals,0.585,0.585
Nathan Stupar,ILB,Falcons,0.585,0.585
Chris Banjo,S,Packers,0.585,0.585
Kamar Aiken,WR,Ravens,0.585,0.585
Phillip Hunt,43DE,Lions,0.585,0.585
Griff Whalen,WR,Colts,0.585,0.585
Mario Alford,WR,Bengals,2.339,0.585
Luke Willson,TE,Seahawks,2.339,0.585
Micah Hyde,CB,Packers,2.338,0.585
Alfred Blue,RB,Texans,2.338,0.584
Corey Robinson,LT,Lions,2.338,0.584
Ifo Ekpre-Olomu,CB,Browns,2.337,0.584
Dexter McDonald,CB,Raiders,2.337,0.584
Zac Stacy,RB,Jets,2.337,0.584
Trenton Brown,LG,49ers,2.336,0.584
Antone Exum,CB,Vikings,2.336,0.584
Geoff Swaim,TE,Cowboys,2.335,0.584
Darryl Roberts,CB,Patriots,2.334,0.584
Denzell Goode,RT,Colts,2.333,0.583
Gerald Christian,TE,Cardinals,2.333,0.583
Trevor Siemian,QB,Broncos,2.333,0.583
Rory Anderson,TE,49ers,2.333,0.583
EJ Gaines,CB,Rams,2.328,0.582
TJ Jones,WR,Lions,2.326,0.582
Pat O’Donnell,P,Bears,2.325,0.581
Jordan Zumwalt,ILB,Steelers,2.325,0.581
Demetri Goodson,CB,Packers,2.323,0.581
Garrett Scott,T,Seahawks,2.322,0.58
Sam Martin,P,Lions,2.32,0.58
Darren Keyton,C,Lions,0.96,0.58
Tyler Gaffney,RB,Patriots,2.317,0.579
Luke Bowanko,C,Jaguars,2.314,0.579
Malik Jackson,34DE,Broncos,2.314,0.578
Tahir Whitehead,43OLB,Lions,2.312,0.578
Robert Blanton,CB,Vikings,2.311,0.578
Ricky Wagner,RT,Ravens,2.305,0.576
Josh Boyd,DT,Packers,2.305,0.576
Josh Norman,CB,Panthers,2.299,0.575
Daniel McCullers,34DT,Steelers,2.299,0.575
Marquis Flowers,43OLB,Bengals,2.299,0.575
Jay Prosch,FB,Texans,2.299,0.575
Johnnie Troutman,G,Chargers,2.292,0.573
Andre Hal,CB,Texans,2.289,0.572
Joshua Evans,S,Jaguars,2.289,0.572
Mike Campanaro,WR,Ravens,2.288,0.572
Travis Carrie,CB,Raiders,2.287,0.572
Shamar Stephen,43DT,Vikings,2.285,0.571
Randell Johnson,43OLB,Bills,2.284,0.571
Beau Allen,34DT,Eagles,2.282,0.571
Jabari Price,CB,Vikings,2.282,0.57
D’Joun Smith,CB,Colts,2.28,0.57
Jonathan Grimes,RB,Texans,1.71,0.57
Audie Cole,ILB,Vikings,1.71,0.57
Mike Mohamed,ILB,Texans,1.71,0.57
Fendi Onobun,TE,Jaguars,0.57,0.57
Dom DeCicco,LB,Vikings,0.57,0.57
Drew Davis,WR,Falcons,0.57,0.57
Scott Solomon,34DE,Browns,0.57,0.57
Will Ta’ufo’ou,RB,Jaguars,0.57,0.57
Will Rackley,LG,Ravens,0.57,0.57
Trevor Reilly,34OLB,Jets,2.277,0.569
Terrence Fede,43DE,Dolphins,2.276,0.569
Greg Zuerlein,K,Rams,2.275,0.569
David Quessenberry,LT,Texans,2.273,0.568
Jeff Janis,WR,Packers,2.271,0.568
Seantrel Henderson,RT,Bills,2.271,0.568
Tourek Williams,34DE,Chargers,2.27,0.568
James Wright,WR,Bengals,2.27,0.567
Corey Nelson,ILB,Broncos,2.269,0.567
Charles Leno Jr.,G,Bears,2.267,0.567
Latavius Murray,RB,Raiders,2.266,0.567
Demetrius Rhaney,C,Rams,2.266,0.566
Lonnie Ballentine,S,Texans,2.266,0.566
Mychal Rivera,TE,Raiders,2.265,0.566
Andre Ellington,RB,Cardinals,2.264,0.566
Cornelius Washington,43DE,Bears,2.264,0.566
Mike James,RB,Buccaneers,2.263,0.566
Marvin Jones,WR,Bengals,2.263,0.566
Rex Burkhead,RB,Bengals,2.262,0.566
George Iloka,S,Bengals,2.26,0.565
Nate Palmer,34OLB,Packers,2.259,0.565
Chris Jones,43DT,Patriots,2.253,0.563
Theo Riddick,RB,Lions,2.251,0.563
Kapron Lewis-Moore,34DE,Ravens,2.248,0.562
Vick Ballard,RB,Colts,2.245,0.561
Stacy McGee,43DT,Raiders,2.239,0.56
Ryan Griffin,TE,Texans,2.239,0.56
Vince Williams,ILB,Steelers,2.239,0.56
Brice Butler,WR,Raiders,2.228,0.557
Demetrius McCray,CB,Jaguars,2.227,0.557
Jeremy Lane,CB,Seahawks,2.225,0.556
Alfred Morris,RB,Redskins,2.223,0.556
Michael Mauti,43OLB,Saints,2.223,0.556
Tommy Bohanon,RB,Jets,2.222,0.556
Keith Tandy,CB,Buccaneers,2.221,0.555
Armonty Bryant,43DE,Browns,2.221,0.555
Jordan Poyer,CB,Browns,2.22,0.555
Khyri Thornton,34DE,Patriots,2.22,0.555
Chris Smith,43DE,Jaguars,2.22,0.555
Demontre Hurst,CB,Bears,1.115,0.555
Ty Nsekhe,RT,Redskins,1.11,0.555
Ryan Robinson,43DE,Seahawks,1.11,0.555
Jordan Gay,P,Bills,1.11,0.555
Matthew Masifilo,43DE,Buccaneers,1.11,0.555
Ka\’Lial Glaud,43OLB,Cowboys,1.11,0.555
Ryan Griffin,QB,Buccaneers,1.11,0.555
Kyle Miller,TE,Chargers,1.11,0.555
Kenjon Barner,RB,Eagles,1.11,0.555
B.J. Daniels,QB,Seahawks,1.11,0.555
Collin Mooney,RB,Falcons,1.11,0.555
Davon Coleman,43DT,Cowboys,1.11,0.555
Rod Sweeting,CB,Cowboys,1.11,0.555
Ryan Miller,T,Cowboys,1.11,0.555
Michael Hill,RB,Cowboys,1.11,0.555
Phillip Supernaw,TE,Titans,1.11,0.555
Nick Williams,WR,Falcons,1.11,0.555
Ken Bishop,43DT,Cowboys,1.11,0.555
Matthew Tucker,RB,Eagles,1.11,0.555
Da’Rel Scott,RB,Giants,0.555,0.555
Kyle Adams,TE,Buccaneers,0.555,0.555
Danny Watkins,G,Dolphins,0.555,0.555
Jim Cordle,C,Giants,0.555,0.555
Chris Gragg,TE,Bills,2.219,0.555
Justin Bethel,CB,Cardinals,2.214,0.554
Garrett Gilkey,G,Buccaneers,2.211,0.553
Sam Barrington,34OLB,Packers,2.209,0.552
Marquess Wilson,WR,Bears,2.207,0.552
Sean Renfree,QB,Falcons,2.206,0.551
Marcus Cooper,CB,Chiefs,2.206,0.551
Damion Stafford,S,Titans,2.206,0.551
Michael Bowie,LT,Browns,2.206,0.551
Zeke Motta,S,Falcons,2.206,0.551
Kemal Ishmael,S,Falcons,2.206,0.551
James Hanna,TE,Cowboys,2.205,0.551
Danny Trevathan,ILB,Broncos,2.204,0.551
Randy Bullock,K,Texans,2.203,0.551
Nate Ebner,S,Patriots,2.197,0.549
Brad Nortman,P,Panthers,2.179,0.545
Billy Winn,DT,Colts,2.179,0.545
Chris Thompson,RB,Redskins,1.08,0.54
John Simon,34DE,Texans,1.08,0.54
Mike Remmers,RT,Panthers,1.08,0.54
Brandon Bair,43DE,Eagles,1.08,0.54
Bacarri Rambo,S,Bills,1.08,0.54
David Molk,C,Eagles,1.08,0.54
Chase Ford,TE,Vikings,1.08,0.54
Patrick Lewis,C,Seahawks,1.08,0.54
Drew Butler,P,Cardinals,1.08,0.54
Mario Butler,CB,Bills,1.08,0.54
Zach Line,FB,Vikings,1.08,0.54
Ross Ventrone,S,Steelers,1.08,0.54
Travis Lewis,ILB,Lions,2.159,0.54
J.R. Sweezy,RG,Seahawks,2.157,0.539
Rishard Matthews,WR,Dolphins,2.154,0.538
Bryce Brown,RB,Bills,2.151,0.538
Kelvin Beachum,RT,Steelers,2.146,0.536
Markus Kuhn,43DT,Giants,2.146,0.536
Brittan Golden,CB,Cardinals,1.605,0.535
La\’el Collins,RT,Cowboys,1.6,0.533
