"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Gila Regional Medical Center","Silver City","NM","Government","3","Same","Above","Above","Same","Same","Same","Same","0","Unknown","Unknown","14313","Average","Lower","16321","Average","Average","22377","Average","Average"
"Lovelace Women's Hospital","Albuquerque","NM","Government","2","Same","Below","Same","Below","Same","Same","Same","0","Unknown","Unknown","15328","Average","Average","16327","Average","Average","21923","Average","Average"
"Memorial Medical Center","Las Cruces","NM","Proprietary","2","Same","Same","Below","Below","Same","Below","Below","22011","Average","Average","16535","Average","Average","18633","Average","Average","23890","Average","Higher"
"Presbyterian Hospital","Albuquerque","NM","Private","2","Same","Below","Above","Same","Below","Below","Below","20214","Average","Lower","16804","Average","Average","16762","Average","Average","20048","Average","Lower"
"Plains Regional Medical Center","Clovis","NM","Government","3","Same","Below","Above","Same","Below","Same","Same","0","Unknown","Unknown","15986","Average","Average","15334","Average","Lower","18810","Average","Lower"
"Artesia General Hospital","Artesia","NM","Unknown","3","None","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15878","Average","Average","19289","Average","Lower"
"Los Alamos Medical Center","Los Alamos","NM","Proprietary","3","Same","None","Same","Same","Same","Above","None","0","Unknown","Unknown","15374","Average","Average","16792","Average","Average","0","Unknown","Unknown"
"Rehoboth Mckinley Christian Health Care Services","Gallup","NM","Private","2","Same","None","Same","Below","Same","Below","Same","0","Unknown","Unknown","13296","Average","Lower","15081","Average","Lower","0","Unknown","Unknown"
"Santa Fe Phs Indian Hospital","Santa Fe","NM","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Mescalero Phs Indian Hospital","Mescalero","NM","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Northern Navajo Medical Center","Shiprock","NM","Government","3","None","None","Above","Below","Same","None","None","0","Unknown","Unknown","15588","Average","Average","12805","Average","Lower","0","Unknown","Unknown"
"Zuni Comprehensive Community Health Center","Zuni","NM","Government","-1","None","None","None","None","Below","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14541","Average","Lower","0","Unknown","Unknown"
"Gallup Indian Medical Center","Gallup","NM","Government","1","Same","Below","Below","Same","Same","None","None","0","Unknown","Unknown","15414","Average","Average","11515","Average","Lower","0","Unknown","Unknown"
"Crownpoint Healthcare Facility","Crownpoint","NM","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","11439","Average","Lower","0","Unknown","Unknown"
"Carlsbad Medical Center","Carlsbad","NM","Proprietary","2","Same","None","Same","Below","Same","Same","Same","25067","Average","Average","15212","Average","Average","17137","Average","Average","0","Unknown","Unknown"
"Lea Regional Medical Center","Hobbs","NM","Proprietary","2","Same","Above","Same","Below","Same","Same","Same","23294","Average","Average","14393","Average","Lower","17354","Average","Average","0","Unknown","Unknown"
"Guadalupe County Hospital","Santa Rosa","NM","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Dhhs Usphs Indian Health Services","San Fidel","NM","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lovelace Westside Hospital","Albuquerque","NM","Proprietary","4","Same","Same","Above","Same","Same","Same","None","0","Unknown","Unknown","15271","Average","Average","16707","Average","Average","19462","Average","Lower"
"Roosevelt General Hospital","Portales","NM","Government","3","Same","None","Same","None","Below","Same","Below","0","Unknown","Unknown","15634","Average","Average","15800","Average","Average","0","Unknown","Unknown"
"Mountain View Regional Medical Center","Las Cruces","NM","Proprietary","1","Same","Below","Below","Below","Same","Below","Above","26119","Average","Higher","17694","Average","Average","18497","Average","Higher","20448","Average","Lower"
"Lovelace Regional Hospital - Roswell","Roswell","NM","Proprietary","3","Same","Above","Below","Same","Same","Same","Below","22471","Average","Average","16163","Average","Average","15979","Average","Average","22218","Average","Average"
"Unm Sandoval Regional Medical Center","Rio Rancho","NM","Private","3","Same","Above","Above","Same","Below","Below","Same","0","Unknown","Unknown","15855","Average","Average","17173","Average","Average","21139","Average","Average"
"Sierra Vista Hospital","T Or C","NM","Proprietary","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","13396","Average","Lower","0","Unknown","Unknown"
"Socorro General Hospital","Socorro","NM","Proprietary","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","15439","Average","Average","0","Unknown","Unknown"
"Dr Dan C Trigg Memorial Hospital","Tucumcari","NM","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17906","Average","Average","0","Unknown","Unknown"
"Union County General Hospital","Clayton","NM","Unknown","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","20638","Average","Average","0","Unknown","Unknown"
"Nor-lea Hospital District","Lovington","NM","Government","4","Same","None","Above","Above","None","Below","Same","0","Unknown","Unknown","16242","Average","Average","18128","Average","Average","0","Unknown","Unknown"
"Lincoln County Medical Center","Ruidoso","NM","Private","4","Same","None","Above","Same","None","None","None","0","Unknown","Unknown","15444","Average","Average","15685","Average","Lower","0","Unknown","Unknown"
"Miners' Colfax Medical Center","Raton","NM","Government","3","Same","None","Above","None","Same","Same","None","0","Unknown","Unknown","16503","Average","Average","21216","Average","Higher","0","Unknown","Unknown"
"Cibola General Hospital","Grants","NM","Government","-1","None","None","Same","None","None","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","12513","Average","Lower","0","Unknown","Unknown"
"Mimbres Memorial Hospital","Deming","NM","Proprietary","3","Same","None","Same","Below","Same","Same","None","0","Unknown","Unknown","15507","Average","Average","14861","Average","Lower","24528","Average","Average"
"Holy Cross Hospital A Div Of Taos Health Systems","Taos","NM","Private","3","Same","None","Same","Below","Same","Below","Same","0","Unknown","Unknown","15217","Average","Average","15802","Average","Lower","18866","Average","Lower"
"Albany Memorial Hospital","Albany","NY","Private","4","Same","None","Above","Below","Same","Below","None","23141","Average","Average","14876","Average","Lower","15495","Average","Lower","0","Unknown","Unknown"
"Healthalliance Hospital Broadway Campus","Kingston","NY","Private","1","Same","Below","Below","Below","Same","Below","Above","23186","Average","Average","16672","Average","Average","16584","Average","Lower","0","Unknown","Unknown"
"Kaleida Health","Buffalo","NY","Private","1","Below","Below","Below","Below","Same","Below","Same","21582","Average","Lower","15892","Average","Average","17001","Worse","Average","21090","Average","Lower"
"St Joseph's Medical Center","Yonkers","NY","Private","1","Same","Below","Below","Below","Same","Below","None","24343","Average","Average","16329","Average","Average","17418","Average","Average","27928","Average","Higher"
"Wyoming County Community Hospital","Warsaw","NY","Government","3","Same","None","Below","Above","Same","Same","Same","0","Unknown","Unknown","15444","Average","Average","15437","Average","Lower","0","Unknown","Unknown"
"Bronx-lebanon Hospital Center","Bronx","NY","Proprietary","2","Same","Above","Below","Below","Same","Below","Same","23110","Average","Average","13449","Average","Lower","15490","Average","Lower","0","Unknown","Unknown"
"Our Lady Of Lourdes Memorial Hospital, Inc","Binghamton","NY","Private","3","Same","Above","Above","Below","Same","Same","Below","20305","Average","Lower","15391","Average","Lower","15992","Average","Lower","20493","Average","Lower"
"Albany Medical Center Hospital","Albany","NY","Private","1","Same","Same","Below","Below","Below","Below","Same","24747","Average","Average","18792","Average","Higher","17498","Average","Average","20472","Average","Lower"
"Jamaica Hospital Medical Center","Jamaica","NY","Private","1","Below","Same","Below","Below","Below","Below","Same","23775","Average","Average","14929","Average","Lower","17746","Worse","Average","0","Unknown","Unknown"
"New York Community Hospital Of Brooklyn, Inc.","Brooklyn","NY","Private","3","Above","Above","Below","Below","Same","Below","None","24628","Average","Average","16648","Better","Average","20035","Average","Higher","0","Unknown","Unknown"
"Vassar Brothers Medical Center","Poughkeepsie","NY","Private","1","Same","Below","Below","Below","Same","Below","Below","23453","Average","Average","16495","Average","Average","17754","Average","Average","20785","Average","Lower"
"Mount Sinai Hospital","New York","NY","Private","3","Above","Above","Below","Below","Same","Below","Same","24493","Average","Average","17727","Better","Higher","18166","Average","Higher","25080","Worse","Higher"
"Nassau University Medical Center","East Meadow","NY","Government","1","Below","Below","Below","Below","Same","Below","None","25050","Average","Average","17492","Average","Average","17849","Worse","Average","0","Unknown","Unknown"
"Richmond University Medical Center","Staten Island","NY","Private","1","Same","Below","Below","Below","Below","Below","None","21686","Average","Average","17918","Average","Average","20733","Average","Higher","25713","Average","Higher"
"Newark-wayne Community Hospital","Newark","NY","Private","2","Same","Below","Below","Same","Same","Same","Same","23175","Average","Average","17391","Average","Average","16243","Average","Average","21267","Average","Average"
"Chenango Memorial Hospital","Norwich","NY","Private","3","Same","Same","Above","Same","Same","Same","Same","22363","Average","Average","13964","Average","Lower","14025","Average","Lower","20759","Average","Average"
"Southside Hospital","Bay Shore","NY","Private","2","Same","Same","Below","Below","Same","Below","Above","25972","Average","Average","19127","Average","Higher","17586","Worse","Average","23319","Average","Higher"
"Faxton-st Luke's Healthcare","Utica","NY","Private","2","Below","Same","Same","Below","Same","Below","None","24612","Worse","Average","15789","Average","Average","16629","Worse","Lower","25581","Average","Higher"
"Huntington Hospital","Huntington","NY","Private","3","Above","Below","Below","Same","Same","Below","Above","25456","Average","Average","18298","Better","Higher","18487","Average","Higher","22701","Average","Higher"
"Mount Sinai West","New York","NY","Private","3","Above","Above","Below","Below","Same","Below","Same","25968","Average","Higher","17527","Better","Average","16509","Better","Lower","24394","Average","Higher"
"St Mary's Hospital At Amsterdam","Amsterdam","NY","Private","2","Below","Above","Below","Below","Same","Same","None","22175","Average","Average","15614","Worse","Average","16375","Average","Lower","20419","Average","Average"
"Northern Dutchess Hospital","Rhinebeck","NY","Private","4","Same","Above","Above","Above","Same","Above","Same","23722","Average","Average","16570","Average","Average","16936","Average","Average","19137","Average","Lower"
"New York-presbyterian/queens","Flushing","NY","Private","2","Above","Below","Below","Below","Same","Below","Same","21636","Average","Lower","17543","Average","Higher","19508","Average","Higher","27345","Average","Higher"
"Brooklyn Hospital Center At Downtown Campus","Brooklyn","NY","Private","1","Same","Below","Below","Below","Same","Below","Same","23727","Average","Average","18058","Average","Average","17352","Average","Average","26603","Average","Higher"
"St Peter's Hospital","Albany","NY","Private","2","Above","Below","Below","Same","Same","Below","Same","23471","Average","Average","16511","Average","Average","17310","Better","Average","19281","Average","Lower"
"Geneva General Hospital","Geneva","NY","Private","1","Below","Below","Below","Below","Same","Below","Same","0","Unknown","Unknown","17599","Worse","Average","17596","Average","Average","20069","Average","Lower"
"Montefiore Medical Center","Bronx","NY","Private","1","Above","Below","Below","Below","Same","Below","Same","23031","Average","Average","16293","Better","Average","16961","Better","Average","24508","Average","Higher"
"Niagara Falls Memorial Medical Center","Niagara Falls","NY","Unknown","1","Same","Same","Below","Below","Same","Same","Same","24015","Average","Average","13184","Average","Lower","16115","Average","Average","0","Unknown","Unknown"
"United Memorial Medical Center","Batavia","NY","Private","2","Same","Above","Same","Below","Same","Above","Below","24088","Average","Average","15468","Average","Average","16389","Worse","Average","22192","Average","Average"
"F F Thompson Hospital","Canandaigua","NY","Private","2","Same","Same","Below","Below","Same","Below","Same","23559","Average","Average","13837","Average","Lower","16175","Average","Lower","18526","Average","Lower"
"Sisters Of Charity Hospital","Buffalo","NY","Private","2","Same","Above","Below","Same","Same","Below","Same","24570","Average","Average","15863","Average","Average","18052","Average","Average","22042","Average","Average"
"Adirondack Medical Center","Saranac Lake","NY","Unknown","4","Same","Above","Same","Above","Same","Same","Same","21643","Average","Average","14657","Average","Lower","15900","Average","Average","20171","Average","Lower"
"Lincoln Medical & Mental Health Center","Bronx","NY","Government","1","Same","Below","Below","Below","Below","Below","None","23098","Average","Average","15922","Average","Average","20947","Average","Higher","0","Unknown","Unknown"
"Alice Hyde Medical Center","Malone","NY","Unknown","1","Same","Below","Same","Below","Same","Above","Same","22623","Average","Average","13374","Average","Lower","16355","Average","Average","19523","Average","Lower"
"Aurelia Osborn Fox Memorial Hospital","Oneonta","NY","Private","3","Same","Same","Above","Same","Same","Below","Same","20934","Average","Lower","13054","Average","Lower","14069","Average","Lower","22563","Average","Average"
"Montefiore Mount Vernon Hospital","Mount Vernon","NY","Private","1","Same","None","Below","Below","Same","Below","None","0","Unknown","Unknown","17463","Average","Average","19189","Average","Average","0","Unknown","Unknown"
"Eastern Long Island Hospital","Greenport","NY","Private","3","Same","None","Above","Same","Same","Same","Below","0","Unknown","Unknown","16362","Average","Average","17370","Average","Average","0","Unknown","Unknown"
"Arnot Ogden Medical Center","Elmira","NY","Private","2","Same","Below","Below","Below","Same","Below","Same","23224","Average","Average","15735","Average","Average","16975","Average","Average","20072","Average","Lower"
"Columbia Memorial Hospital","Hudson","NY","Private","2","Same","Below","Below","Below","Same","Below","Same","22771","Average","Average","15808","Average","Average","16298","Average","Lower","20994","Average","Average"
"Jones Memorial Hospital","Wellsville","NY","Private","2","Below","None","Same","Below","Same","Same","Same","0","Unknown","Unknown","15297","Average","Average","15610","Average","Lower","0","Unknown","Unknown"
"N Y Eye And Ear Infirmary","New York","NY","Private","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"New York-presbyterian Hospital","New York","NY","Private","3","Above","Below","Below","Same","Same","Below","Below","24751","Better","Average","18175","Better","Higher","16921","Better","Lower","23499","Average","Higher"
"Kenmore Mercy Hospital","Kenmore","NY","Church","4","Same","Above","Above","Same","Same","Below","Same","23342","Average","Average","16022","Average","Average","17668","Average","Average","21438","Average","Average"
"Olean General Hospital","Olean","NY","Proprietary","3","Same","Above","Above","Below","Same","Below","Below","25355","Average","Average","16750","Average","Average","17282","Average","Average","22874","Average","Average"
"Nyack Hospital","Nyack","NY","Unknown","2","Above","Above","Below","Below","Same","Below","Above","26887","Average","Higher","20653","Average","Higher","19826","Average","Higher","22626","Average","Average"
"North Shore University Hospital","Manhasset","NY","Private","2","Above","Below","Below","Same","Same","Below","Below","25198","Average","Higher","18385","Better","Higher","17702","Better","Average","23597","Average","Higher"
"Peconic Bay Medical Center","Riverhead","NY","Private","1","Same","Above","Below","Below","Same","Below","Same","25338","Average","Average","19882","Average","Higher","16846","Average","Average","22010","Average","Average"
"St Joseph's Hospital, Inc","Elmira","NY","Private","3","None","None","Above","None","Same","Below","None","0","Unknown","Unknown","0","Unknown","Unknown","15351","Average","Lower","0","Unknown","Unknown"
"Bertrand Chaffee Hospital","Springville","NY","Private","2","Same","None","Below","Below","Same","Above","None","0","Unknown","Unknown","15623","Average","Average","16991","Average","Average","0","Unknown","Unknown"
"Oneida Health Hospital","Oneida","NY","Unknown","3","Below","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","14248","Worse","Lower","14302","Average","Lower","22459","Average","Average"
"Lenox Hill Hospital","New York","NY","Private","3","Above","Below","Above","Below","Same","Same","Same","26758","Average","Higher","18769","Better","Higher","18473","Better","Higher","21502","Average","Average"
"Rochester General Hospital","Rochester","NY","Private","2","Above","Below","Below","Below","Same","Below","Same","24514","Average","Average","16092","Average","Average","17005","Better","Average","21515","Average","Average"
"Orange Regional Medical Center","Middletown","NY","Private","3","Above","Above","Below","Same","Same","Below","Above","26417","Better","Higher","19639","Average","Higher","19019","Average","Higher","24820","Average","Higher"
"Jacobi Medical Center","Bronx","NY","Government","1","Same","Below","Below","Below","Below","Below","Same","25175","Average","Average","15288","Average","Average","17094","Average","Average","0","Unknown","Unknown"
"Elmhurst Hospital Center","Elmhurst","NY","Government","1","Same","Below","Below","Below","Same","Below","None","22796","Average","Average","15946","Average","Average","16227","Average","Average","0","Unknown","Unknown"
"Tlc Network","Irving","NY","Private","2","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","16844","Average","Average","14170","Average","Lower","0","Unknown","Unknown"
"Bon Secours Community Hospital","Port Jervis","NY","Church","4","Same","Above","Above","Same","Same","Above","Same","24134","Average","Average","15641","Average","Average","18404","Average","Average","22167","Average","Average"
"Mary Imogene Bassett Hospital","Cooperstown","NY","Private","1","Same","Below","Below","Below","Same","Same","Same","23597","Average","Average","15542","Average","Average","16521","Average","Average","21123","Average","Average"
"St Joseph's Hospital Health Center","Syracuse","NY","Private","2","Above","Below","Below","Same","Same","Below","Above","22759","Better","Average","15815","Average","Lower","16006","Average","Lower","19857","Average","Lower"
"Long Island Community Hospital","Patchogue","NY","Private","1","Above","Below","Below","Below","Same","Below","Same","25742","Average","Higher","17857","Average","Higher","19363","Average","Higher","26015","Average","Higher"
"Ira Davenport Memorial Hospital, Inc","Bath","NY","Unknown","3","Same","None","Same","None","Same","Same","Same","0","Unknown","Unknown","0","Unknown","Unknown","15059","Average","Lower","0","Unknown","Unknown"
"St James Mercy Hospital","Hornell","NY","Church","3","Same","None","Above","Below","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","14602","Average","Lower","0","Unknown","Unknown"
"Ellis Hospital","Schenectady","NY","Proprietary","2","Same","Below","Above","Below","Same","Below","Above","20315","Average","Lower","16062","Average","Average","17350","Average","Average","20296","Average","Lower"
"Samaritan Medical Center","Watertown","NY","Private","3","Same","Above","Above","Below","Same","Below","Below","21645","Average","Average","14482","Average","Lower","15379","Average","Lower","20531","Average","Lower"
"Good Samaritan Hospital Of Suffern","Suffern","NY","Church","1","Same","Below","Below","Below","Same","Below","Same","26518","Average","Higher","20394","Average","Higher","20310","Average","Higher","20891","Average","Lower"
"Staten Island University Hospital","Staten Island","NY","Private","1","Same","Below","Below","Below","Same","Below","Above","23739","Average","Average","17021","Average","Average","17452","Average","Average","30122","Average","Higher"
"Northern Westchester Hospital","Mount Kisco","NY","Private","3","Above","Below","Below","Above","Same","Same","Same","24462","Average","Average","17339","Average","Average","16832","Average","Average","22444","Average","Average"
"Eastern Niagara Hospital","Lockport","NY","Private","1","Below","Below","Below","Below","Same","Same","Same","23618","Average","Average","14992","Worse","Lower","15112","Average","Lower","0","Unknown","Unknown"
"Highland Hospital","Rochester","NY","Private","3","Same","Below","Same","Same","Same","Below","Same","22581","Average","Average","14560","Average","Lower","14648","Average","Lower","21093","Average","Lower"
"Westfield Memorial Hospital, Inc","Westfield","NY","Private","-1","None","None","None","None","Below","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Nyu Winthrop Hospital","Mineola","NY","Private","3","Above","Below","Below","Below","Same","Below","Above","22644","Average","Average","18526","Better","Higher","16671","Better","Lower","22845","Average","Higher"
"Mount Sinai Beth Israel","New York","NY","Private","2","Above","Below","Below","Below","Same","Below","Same","23532","Better","Average","17259","Better","Average","17678","Better","Average","27312","Average","Higher"
"Cortland Regional Medical Center, Inc","Cortland","NY","Private","3","Above","Below","Below","Below","Same","Below","Same","23301","Average","Average","15263","Better","Average","15508","Better","Lower","20330","Average","Average"
"Samaritan Hospital","Troy","NY","Private","1","Same","Below","Above","Below","Same","Below","Same","23394","Average","Average","16928","Average","Average","17288","Average","Average","22130","Average","Average"
"Glen Cove Hospital","Glen Cove","NY","Private","2","Same","Above","Below","Below","Same","Below","Same","23315","Average","Average","18859","Average","Higher","19038","Average","Higher","0","Unknown","Unknown"
"St Francis Hospital, Roslyn","Roslyn","NY","Church","4","Above","Below","Same","Above","Same","Below","Above","27144","Average","Higher","19227","Better","Higher","16576","Better","Lower","24369","Average","Higher"
"Montefiore New Rochelle Hospital","New Rochelle","NY","Private","2","Same","Same","Below","Below","Same","Below","Same","25876","Average","Average","17651","Average","Average","19762","Average","Higher","22620","Average","Average"
"John T Mather Memorial Hospital  Of Port Jefferson","Port Jefferson","NY","Private","3","Above","Same","Below","Above","Same","Below","Above","25447","Average","Average","17411","Better","Average","16146","Better","Lower","21913","Average","Average"
"Mount St Mary's Hospital And  Health Center","Lewiston","NY","Church","3","Same","Same","Below","Same","Same","Same","Same","22500","Average","Average","15742","Average","Average","16436","Average","Average","22390","Average","Average"
"Glens Falls Hospital","Glens Falls","NY","Private","3","Below","Above","Above","Same","Same","Below","Above","21365","Average","Lower","15385","Worse","Lower","15864","Worse","Lower","22378","Average","Average"
"Flushing Hospital Medical Center","Flushing","NY","Private","1","Same","Below","Below","Below","Same","Below","None","25556","Average","Average","18531","Average","Higher","19706","Worse","Higher","29863","Average","Higher"
"Maimonides Medical Center","Brooklyn","NY","Private","1","Above","Below","Below","Below","Same","Below","Above","23004","Better","Average","18102","Better","Higher","19535","Better","Higher","29983","Average","Higher"
"Long Island Jewish Medical Center","New Hyde Park","NY","Private","2","Above","Below","Below","Below","Below","Below","Above","22430","Average","Average","17611","Better","Higher","17884","Average","Average","23095","Average","Higher"
"Coney Island Hospital","Brooklyn","NY","Government","1","Same","Below","Below","Below","Below","Below","None","24605","Average","Average","16628","Better","Average","18095","Average","Average","0","Unknown","Unknown"
"Canton-potsdam Hospital","Potsdam","NY","Private","3","Above","Above","Below","Same","Below","Below","Same","21729","Average","Average","14131","Average","Lower","14032","Average","Lower","19218","Average","Lower"
"South Nassau Communities Hospital","Oceanside","NY","Private","2","Same","Above","Below","Below","Same","Below","Above","23938","Average","Average","18182","Average","Higher","18177","Average","Higher","22063","Average","Average"
"Metropolitan Hospital Center","New York","NY","Government","2","Same","Below","Below","Below","Same","Below","None","22024","Average","Average","0","Unknown","Unknown","16714","Average","Average","0","Unknown","Unknown"
"Kingsbrook Jewish Medical Center","Brooklyn","NY","Private","1","Above","Below","Below","Below","Same","Below","None","25553","Average","Average","19508","Average","Higher","19321","Average","Higher","0","Unknown","Unknown"
"Kings County Hospital Center","Brooklyn","NY","Government","1","Same","Below","Below","Below","Below","Below","None","19585","Average","Lower","13717","Average","Lower","16088","Average","Average","0","Unknown","Unknown"
"Crouse Hospital","Syracuse","NY","Private","2","Same","Same","Below","Below","Same","Below","Same","20361","Average","Lower","15246","Average","Lower","16506","Average","Lower","20839","Average","Lower"
"Bellevue Hospital Center","New York","NY","Government","1","Same","Below","Below","Below","Same","Below","None","21469","Average","Average","13813","Average","Lower","13832","Average","Lower","0","Unknown","Unknown"
"St Anthony Community Hospital","Warwick","NY","Church","2","Same","Below","Below","Above","Same","Above","None","25360","Average","Average","18608","Average","Higher","19451","Average","Higher","23089","Average","Average"
"St John's Riverside Hospital","Yonkers","NY","Private","2","Above","Same","Below","Same","Same","Below","Below","24577","Average","Average","17655","Average","Higher","18956","Average","Higher","23224","Average","Average"
"Claxton-hepburn Medical Center","Ogdensburg","NY","Private","3","Same","Above","Below","Same","Same","Same","Same","22872","Average","Average","15551","Average","Average","14543","Average","Lower","20560","Average","Average"
"Nyu Langone Hospitals","New York","NY","Private","4","Above","Below","Below","Below","Above","Below","Above","24995","Average","Average","18700","Better","Higher","18862","Better","Higher","21361","Average","Lower"
"Rome Memorial Hospital, Inc","Rome","NY","Private","3","Same","None","Same","Below","Same","Same","Same","24753","Average","Average","15051","Average","Lower","17378","Average","Average","0","Unknown","Unknown"
"Oswego Hospital","Oswego","NY","Private","3","Same","Same","Above","Same","Same","Below","Same","23391","Average","Average","16623","Average","Average","18689","Average","Higher","0","Unknown","Unknown"
"Erie County Medical Center","Buffalo","NY","Private","2","Same","Above","Same","Below","Below","Below","Same","0","Unknown","Unknown","14474","Average","Lower","17209","Average","Average","21845","Average","Average"
"Wyckoff Heights Medical Center","Brooklyn","NY","Private","1","Same","Below","Below","Below","Same","Below","None","24593","Average","Average","16592","Average","Average","19056","Average","Higher","0","Unknown","Unknown"
"Saratoga Hospital","Saratoga Springs","NY","Private","4","Same","Above","Above","Above","Above","Below","Above","22895","Average","Average","15546","Average","Average","16180","Average","Lower","19437","Average","Lower"
"Massena Memorial Hospital","Massena","NY","Government","2","Same","None","Below","Below","Same","Same","Same","21799","Average","Average","14765","Average","Lower","16013","Average","Lower","0","Unknown","Unknown"
"Healthalliance Hospital Marys Avenue Campus","Kingston","NY","Church","-1","None","Above","None","Same","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18627","Average","Lower"
"Unity Hospital Of Rochester","Rochester","NY","Private","2","Same","Same","Below","Same","Same","Below","Above","22359","Average","Average","16278","Average","Average","16292","Average","Lower","20571","Average","Lower"
"Brooks Memorial Hospital","Dunkirk","NY","Private","2","Same","Same","Same","Below","Same","Same","None","0","Unknown","Unknown","16619","Average","Average","16022","Average","Average","22970","Average","Average"
"Queens Hospital Center","Jamaica","NY","Government","1","Same","Same","Below","Below","Same","Below","Same","22812","Average","Average","15228","Average","Average","16217","Average","Average","0","Unknown","Unknown"
"St Mary's Hospital ( Troy )","Troy","NY","Private","3","Same","None","Same","None","Same","Same","None","22060","Average","Average","15889","Average","Average","16642","Average","Average","0","Unknown","Unknown"
"Brookdale Hospital Medical Center","Brooklyn","NY","Private","1","Same","Below","Below","Below","Below","Below","Same","23588","Average","Average","16445","Average","Average","17851","Average","Average","0","Unknown","Unknown"
"Westchester Medical Center","Valhalla","NY","Government","1","Same","Below","Below","Below","Same","Below","Below","26233","Average","Higher","21894","Average","Higher","19615","Average","Higher","23985","Average","Higher"
"Auburn  Community  Hospital","Auburn","NY","Private","1","Same","Above","Below","Below","Same","Below","Below","22024","Average","Average","15409","Average","Lower","15540","Average","Lower","23472","Average","Average"
"New York-presbyterian Brooklyn Methodist Hospital","Brooklyn","NY","Private","3","Above","Above","Below","Below","Same","Below","Same","22548","Average","Average","17488","Better","Higher","18302","Better","Higher","28939","Average","Higher"
"Nicholas H Noyes Memorial Hospital","Dansville","NY","Private","2","Same","Below","Below","Same","Same","Same","Below","0","Unknown","Unknown","15432","Average","Average","13119","Average","Lower","20110","Average","Average"
"Upmc Chautauqua Wca","Jamestown","NY","Private","2","Same","Above","Above","Below","Below","Below","Below","21425","Average","Average","16198","Average","Average","16993","Average","Average","25164","Average","Higher"
"Harlem Hospital Center","New York","NY","Government","1","Same","Same","Below","Below","Same","Below","None","0","Unknown","Unknown","15820","Average","Average","18762","Average","Average","0","Unknown","Unknown"
"University Hospital S U N Y Health Science Center","Syracuse","NY","Government","2","Same","Below","Same","Below","Same","Below","Below","22839","Average","Average","16407","Average","Average","17081","Average","Average","21968","Average","Average"
"St Elizabeth Medical Center","Utica","NY","Private","1","Same","Below","Above","Below","Below","Below","Same","23744","Average","Average","15224","Average","Lower","14881","Average","Lower","18793","Better","Lower"
"St Charles Hospital","Port Jefferson","NY","Private","3","Same","Below","Below","Above","Same","Below","Same","22223","Average","Average","18518","Average","Average","17180","Average","Average","22684","Average","Higher"
"Champlain Valley Physicians Hospital Medical Ctr","Plattsburgh","NY","Private","3","Above","Same","Below","Same","Same","Below","Above","20370","Average","Lower","14956","Average","Lower","14805","Average","Lower","21082","Average","Average"
"Mercy Medical Center","Rockville Centre","NY","Private","1","Same","Below","Below","Below","Same","Below","Above","26407","Average","Higher","18842","Average","Higher","18901","Average","Higher","27685","Average","Higher"
"Phelps Memorial Hospital Assn","Sleepy Hollow","NY","Unknown","4","Same","Above","Same","Same","Same","Below","Same","24352","Average","Average","17942","Average","Average","17717","Average","Average","21421","Average","Average"
